I_a,snr_dB,X,E
0.0,6.0,[ 1  1  1 ...  1  1 -1],"[-1.25117618  0.05929269 -1.23936321 ...  0.11340491 -0.07973368
  0.58943455]"
I_a,snr_dB,X,E
0.1,6.0,[ 1 -1  1 ...  1  1  1],"[ 0.40316222 -1.28528216  1.26498184 ...  0.07340764 -0.12055546
  1.3713728 ]"
I_a,snr_dB,X,E
0.2,6.0,[ 1 -1 -1 ...  1 -1 -1],"[ 2.73845364e+00 -3.33288953e+00 -2.92653884e+00 ...  1.26955112e+00
  2.32087741e-01 -2.74213026e-03]"
I_a,snr_dB,X,E
0.30000000000000004,6.0,[ 1  1  1 ... -1 -1  1],"[-0.01687528 -0.67838693 -0.01197903 ...  0.45274557 -1.28282816
  1.38238476]"
I_a,snr_dB,X,E
0.4,6.0,[1 1 1 ... 1 1 1],"[-0.63539987  0.77200917 -0.67998035 ... -0.42348752  0.08803282
  0.51693075]"
I_a,snr_dB,X,E
0.5,6.0,[ 1 -1  1 ...  1 -1 -1],"[ 2.26477985 -2.57765594  2.75971024 ...  3.545931   -3.5361913
 -3.70647382]"
I_a,snr_dB,X,E
0.6000000000000001,6.0,[-1 -1  1 ... -1  1  1],"[-4.00484083 -4.04050498  3.72011969 ... -1.72452077  1.36010749
  2.80023846]"
I_a,snr_dB,X,E
0.7000000000000001,6.0,[ 1 -1 -1 ...  1  1 -1],"[ 1.6970256  -1.81316814 -1.42583756 ...  0.77822569  0.6643215
 -0.2027832 ]"
I_a,snr_dB,X,E
0.8,6.0,[ 1  1  1 ... -1  1 -1],"[ 0.54503881  0.80419379  0.75229934 ... -1.39812733  1.82592808
 -2.35106299]"
I_a,snr_dB,X,E
0.9,6.0,[-1  1  1 ...  1 -1  1],"[-2.30864372 -0.11765504 -0.17228654 ...  0.28056782  0.01521446
 -0.60109532]"
I_a,snr_dB,X,E
0.0,7.0,[-1 -1 -1 ... -1  1 -1],"[-3.07508981 -2.99608529 -3.0641591  ... -4.32912821  4.1241124
 -4.33746622]"
I_a,snr_dB,X,E
0.1,7.0,[ 1 -1 -1 ... -1  1 -1],"[ 4.77727763 -4.78119745 -6.01089286 ... -1.26884579  1.64690577
 -1.95811118]"
I_a,snr_dB,X,E
0.2,7.0,[ 1 -1  1 ...  1 -1 -1],"[ 4.50025776 -4.45873756  4.27663684 ...  0.20658606 -0.64976459
 -1.70910859]"
I_a,snr_dB,X,E
0.30000000000000004,7.0,[ 1 -1  1 ...  1  1  1],"[-0.0491551  -0.55167538  1.9217482  ... -0.08912009  0.41544326
  0.49170481]"
I_a,snr_dB,X,E
0.4,7.0,[ 1  1 -1 ... -1 -1 -1],"[ 1.15077849 -0.53285852 -1.94961758 ...  0.50258249  0.20079408
  0.09220616]"
I_a,snr_dB,X,E
0.5,7.0,[ 1  1 -1 ...  1 -1  1],"[ 3.71279387  3.29314734 -4.3687417  ... -0.1951519  -1.55717197
  1.26303469]"
I_a,snr_dB,X,E
0.6000000000000001,7.0,[-1  1 -1 ...  1 -1  1],"[-2.26658535  1.88438598 -1.00676947 ...  3.33852727 -3.0666251
  1.97744652]"
I_a,snr_dB,X,E
0.7000000000000001,7.0,[ 1  1 -1 ...  1 -1  1],"[ 7.34027931  8.05276751 -7.33831104 ...  0.42833917 -0.90495438
 -0.85098442]"
I_a,snr_dB,X,E
0.8,7.0,[-1  1 -1 ... -1  1 -1],"[ 0.80151388  2.13552893 -1.21712468 ... -0.06007706  0.71372603
  0.05641094]"
I_a,snr_dB,X,E
0.9,7.0,[ 1 -1  1 ... -1  1 -1],"[-0.66505273  0.85155953 -1.24990878 ...  0.31362318 -0.10611074
 -0.11940602]"
I_a,snr_dB,X,E
0.0,8.0,[-1 -1  1 ...  1 -1  1],"[-0.34682384 -0.4316432   2.10344957 ...  5.06120491 -4.9364533
  4.5491825 ]"
I_a,snr_dB,X,E
0.1,8.0,[ 1 -1  1 ... -1  1  1],"[ 0.49203449  0.63879445  0.73980921 ... -0.23699777 -0.04244285
  1.50291042]"
I_a,snr_dB,X,E
0.2,8.0,[ 1 -1  1 ... -1  1 -1],"[ 0.38042034  0.15066281  0.01154772 ... -1.19403946  0.96506367
 -1.27049382]"
I_a,snr_dB,X,E
0.30000000000000004,8.0,[-1  1  1 ... -1  1 -1],"[-3.63287385  3.63260145  3.81295231 ... -0.11331533  0.03118
  0.0655288 ]"
I_a,snr_dB,X,E
0.4,8.0,[-1  1 -1 ... -1  1  1],"[-2.97507132  3.91363245 -2.16962911 ... -0.39650693  0.71965684
 -0.36423758]"
I_a,snr_dB,X,E
0.5,8.0,[ 1 -1 -1 ... -1 -1 -1],"[ 3.12054181 -1.67041209 -3.15081263 ... -1.50615262 -2.14165684
 -0.84873327]"
I_a,snr_dB,X,E
0.6000000000000001,8.0,[-1 -1 -1 ... -1 -1 -1],"[-3.1507842  -3.13742088 -3.6295289  ... -1.70601388 -1.71924576
 -1.92973413]"
I_a,snr_dB,X,E
0.7000000000000001,8.0,[-1  1  1 ... -1 -1 -1],"[ 0.94484598 -1.17121208 -0.95519697 ... -4.15902275 -3.56300399
 -3.06220158]"
I_a,snr_dB,X,E
0.8,8.0,[-1 -1  1 ...  1  1 -1],"[-1.04493824 -1.45573524  0.04613799 ...  1.74969121 -0.43523191
 -2.53358085]"
I_a,snr_dB,X,E
0.9,8.0,[-1  1  1 ... -1 -1  1],"[-0.88250055  1.53446082  0.90877817 ...  1.70037494 -1.37227688
  1.57276219]"
I_a,snr_dB,X,E
0.0,9.0,[-1 -1  1 ... -1 -1  1],"[ -5.11775856  -4.8561915    5.26088218 ... -21.71002665 -22.42074142
  22.50586493]"
I_a,snr_dB,X,E
0.1,9.0,[ 1 -1  1 ...  1 -1  1],"[ 18.61567683 -18.21772158  18.77839421 ...  17.32271285 -17.57731095
  17.50320594]"
I_a,snr_dB,X,E
0.2,9.0,[ 1 -1  1 ...  1 -1  1],"[ 14.55631821 -15.01124326  14.96295115 ...   9.73857907 -10.94087051
  10.32989863]"
I_a,snr_dB,X,E
0.30000000000000004,9.0,[ 1 -1  1 ...  1 -1  1],"[ 9.70525153 -9.78423365 10.73154451 ... -0.25714948  0.66204824
 -1.01516933]"
I_a,snr_dB,X,E
0.4,9.0,[-1 -1  1 ...  1 -1 -1],"[-15.70797225 -16.10140865  17.57172086 ...  26.55762253 -26.34706701
 -23.8813524 ]"
I_a,snr_dB,X,E
0.5,9.0,[-1  1 -1 ...  1  1 -1],"[-10.65321877  13.40620797 -12.14212792 ...   9.90718011   7.94504232
  -9.99766286]"
I_a,snr_dB,X,E
0.6000000000000001,9.0,[-1 -1 -1 ...  1  1 -1],"[ -4.00842525  -3.9786871   -3.99308268 ...  17.72589655  14.4150578
 -13.44204308]"
I_a,snr_dB,X,E
0.7000000000000001,9.0,[-1  1  1 ...  1 -1 -1],"[ -4.35878569   2.31970886   1.18808314 ...  14.97907195 -14.78594157
 -14.70329391]"
I_a,snr_dB,X,E
0.8,9.0,[-1 -1  1 ... -1 -1 -1],"[ -5.01532581  -5.50220427   5.74727981 ... -12.33436444 -12.40064668
 -12.06079639]"
I_a,snr_dB,X,E
0.9,9.0,[-1 -1 -1 ...  1 -1  1],"[ -6.19419447  -7.57248362  -6.18475901 ...  13.84526437 -11.95452779
  12.06848328]"
I_a,snr_dB,X,E
0.0,10.0,[ 1  1 -1 ...  1  1 -1],"[ 17.9762853   20.68686621 -17.9803163  ...  13.19835399  12.98569276
 -12.98399106]"
I_a,snr_dB,X,E
0.1,10.0,[-1  1 -1 ... -1  1  1],"[ -7.41597703   7.38125425  -8.88344294 ... -19.84171818  19.39247582
  19.44975092]"
I_a,snr_dB,X,E
0.2,10.0,[ 1  1 -1 ... -1  1  1],"[ 21.32349369  19.54614526 -19.35178889 ... -16.58120232  20.92756911
  16.50859832]"
I_a,snr_dB,X,E
