I_a,snr_dB,X,E
0.0,6.0,[ 1 -1  1 ...  1  1  1],"[ 1.99331325 -2.39275376  1.83630478 ...  0.96469381 -1.46827618
  0.85127861]"
I_a,snr_dB,X,E
0.1,6.0,[ 1 -1 -1 ...  1 -1  1],"[ 0.95188856 -0.63210409 -0.65290138 ...  0.38853597 -0.70273333
  1.1480924 ]"
I_a,snr_dB,X,E
0.2,6.0,[ 1  1 -1 ...  1  1 -1],"[ 2.38301692  2.4212597  -2.41222107 ...  6.72580513  6.20566356
 -6.59761263]"
I_a,snr_dB,X,E
0.30000000000000004,6.0,[ 1 -1  1 ...  1 -1  1],"[-0.3816115   0.35927411 -0.33330432 ...  1.40718931 -0.95098075
  0.83716434]"
I_a,snr_dB,X,E
0.4,6.0,[-1  1  1 ... -1  1 -1],"[ 1.68888748  0.09635725  0.26906023 ... -0.50389384  0.50512269
 -0.04364217]"
I_a,snr_dB,X,E
0.5,6.0,[ 1  1 -1 ... -1 -1 -1],"[ 1.06803446 -0.26807192  0.53069945 ... -1.73813202 -1.61685506
 -1.31491263]"
I_a,snr_dB,X,E
0.6000000000000001,6.0,[-1  1  1 ... -1  1 -1],"[-0.3148467   0.53759271  0.0871297  ... -1.07995474  0.74346184
 -1.00664792]"
I_a,snr_dB,X,E
0.7000000000000001,6.0,[-1 -1 -1 ... -1  1 -1],"[-0.09482561  0.39752991  0.0382332  ... -0.23998838  0.83855888
 -0.3293313 ]"
I_a,snr_dB,X,E
0.8,6.0,[ 1  1 -1 ... -1  1  1],"[ 0.27702994  0.87264349 -0.81508508 ... -0.84976053  0.86822095
 -1.62015627]"
I_a,snr_dB,X,E
0.9,6.0,[ 1  1  1 ... -1  1 -1],[0.22121117 0.15327391 0.06840171 ... 1.98219275 1.49187717 1.50592176]
I_a,snr_dB,X,E
0.0,7.0,[ 1 -1 -1 ...  1 -1  1],"[ 2.42317126  1.45429827 -1.41163824 ...  0.47429913 -1.62993056
  0.50179011]"
I_a,snr_dB,X,E
0.1,7.0,[ 1 -1  1 ... -1  1  1],"[ 0.86198521 -0.17040915  0.53548828 ... -1.51383844  1.27748251
  1.64560488]"
I_a,snr_dB,X,E
0.2,7.0,[ 1 -1  1 ... -1  1  1],"[ 0.74750626  0.28374768  0.31225654 ... -4.26544242  4.39433207
  4.91439512]"
I_a,snr_dB,X,E
0.30000000000000004,7.0,[-1  1  1 ...  1  1  1],"[-3.69020628  3.99182043  2.96214325 ...  3.50533243  3.49720832
  3.66320451]"
I_a,snr_dB,X,E
