I_a,snr_dB,X,E
0.0,6.0,[ 1  1 -1 ...  1 -1 -1],"[ 4.82974163  4.82796309 -4.90692544 ...  2.69518393  1.99397521
 -2.18310405]"
I_a,snr_dB,X,E
0.1,6.0,[ 1  1 -1 ...  1 -1  1],"[ 1.58299499  0.62649948 -1.55502056 ...  3.05701147 -4.00577904
  3.53677567]"
I_a,snr_dB,X,E
0.2,6.0,[-1 -1  1 ... -1 -1  1],"[-0.6666007  -0.83394388  0.42054095 ... -1.63187174 -1.19680711
  1.71378809]"
I_a,snr_dB,X,E
0.30000000000000004,6.0,[-1 -1  1 ...  1 -1  1],"[-1.87291337  0.80904532 -0.55696205 ...  0.8368516  -0.92175126
  1.57675158]"
I_a,snr_dB,X,E
0.4,6.0,[ 1  1 -1 ...  1 -1  1],"[ 3.86821458  1.01078198 -0.91458535 ...  2.13226173 -2.13443724
  2.01291561]"
I_a,snr_dB,X,E
0.5,6.0,[-1 -1  1 ... -1 -1 -1],"[-2.92282923 -1.67082688  1.89989681 ... -1.80825955 -2.25917919
 -2.71495782]"
I_a,snr_dB,X,E
0.6000000000000001,6.0,[-1  1  1 ... -1  1 -1],"[-0.67262759  1.30160575  1.29309665 ... -3.94025919  4.73544611
 -4.97248709]"
I_a,snr_dB,X,E
0.0,6.0,[-1  1  1 ... -1  1  1],"[-1.08002038 -0.41803413 -0.12933108 ... -0.93531126  2.09665035
  0.59730794]"
I_a,snr_dB,X,E
0.1,6.0,[-1 -1  1 ... -1  1  1],"[-0.47262866 -0.41639591  1.89440803 ... -2.73280993  2.83746167
  2.86195642]"
I_a,snr_dB,X,E
0.2,6.0,[-1 -1  1 ... -1  1 -1],"[ 0.76546203  0.19067729  0.51974137 ... -3.9070274   4.2742416
 -4.15740186]"
I_a,snr_dB,X,E
0.30000000000000004,6.0,[ 1  1  1 ...  1 -1 -1],"[ 2.19594233  2.0311448   1.34319406 ...  0.23187352 -2.20191232
  0.10991833]"
