EbN0_dB,BER_amp,BER_ldpc,BER_plain
9.434524456659126,[2.56076389e-04 3.47222222e-05],[0. 0.],3.0381944444444444e-05
8.393987162062405,[0.00069227 0.00062934],[0. 0.],0.00014539930555555557
7.412269518961372,[0.01031684 0.01163628],[0.00796658 0.01142144],0.0003016493055555556
6.483075890222379,[0.10416016 0.13514757],[0.09887153 0.13501953],0.0008810763888888889
5.601070260499412,[0.23153212 0.2761046 ],[0.22524957 0.2761046 ],0.0029709201388888884
4.761690601214305,[0.26140191 0.28413411],[0.25481554 0.28413411],0.007096354166666667
3.961006060338817,[0.28098741 0.28957248],[0.27253255 0.28957248],0.021690538194444445
3.1956056427283785,[0.29439453 0.29854601],[0.28712891 0.29854601],0.09694010416666662
2.4625103991471136,[0.30818576 0.30549696],[0.2997309  0.30549696],0.19018229166666675
1.7591034071026013,[0.32067491 0.31535373],[0.31140191 0.31535373],0.2255425347222222
