EbN0_dB,BER_amp,BER_ldpc,BER_plain
9.434524456659126,[2.20486111e-04 1.99652778e-05],[0. 0.],1.3020833333333334e-05
8.393987162062405,[0.00158073 0.00134201],[0.00078559 0.00105122],0.00010416666666666666
7.412269518961372,[0.00656076 0.00570486],[0.00396875 0.00544965],0.00040190972222222234
6.483075890222379,[0.10916493 0.13734462],[0.10305816 0.13719792],0.0011328125
5.601070260499412,[0.22980887 0.27619387],[0.22318946 0.27619583],0.002813324849170437
4.761690601214305,[0.25709744 0.29083659],[0.24996962 0.29083659],0.007351345486111109
3.961006060338817,[0.28154297 0.29835937],[0.27392578 0.29835937],0.018731553819444437
3.1956056427283785,[0.29827799 0.30554796],[0.29007161 0.30554796],0.11275933159722226
2.4625103991471136,[0.30933594 0.31078125],[0.29954861 0.31078125],0.19190212673611115
1.7591034071026013,[0.3210536  0.31891493],[0.31171658 0.31891493],0.22566731770833337
EbN0_dB,BER_amp,BER_ldpc,BER_plain
9.434524456659126,[2.42187500e-04 6.07638889e-06],[0. 0.],2.6909722222222225e-05
8.393987162062405,[0.00081076 0.00027691],[0. 0.],0.00010156250000000001
7.412269518961372,[0.01043576 0.01100434],[0.00784201 0.0107092 ],0.0004010416666666668
6.483075890222379,[0.10396267 0.13142101],[0.09806424 0.13142274],0.0010659722222222227
5.601070260499412,[0.23076277 0.27990791],[0.22413334 0.27990491],0.002835181451612903
4.761690601214305,[0.26011502 0.29061089],[0.25313694 0.29061089],0.007574869791666662
3.961006060338817,[0.28041124 0.29788628],[0.27249349 0.29788628],0.023349609375000014
3.1956056427283785,[0.29599284 0.3041645 ],[0.28769314 0.3041645 ],0.10433485243055556
2.4625103991471136,[0.30842014 0.31171549],[0.2996951  0.31171549],0.18592990451388883
1.7591034071026013,[0.32137044 0.31975369],[0.31211372 0.31975369],0.2270464409722223
