EbN0_dB,BER_amp,BER_ldpc,BER_plain
13.871499448986253,[3.67410714e-03 5.87053571e-04 2.23214286e-06 0.00000000e+00],[0. 0. 0. 0.],0.0
12.830962154389534,[0.01327902 0.00208036 0.00202232 0.00204911],[0.00143527 0.0018058  0.0019308  0.00201116],2.232142857142857e-05
11.8492445112885,[0.0596183  0.0166183  0.01638839 0.01642411],[0.0122567  0.01489955 0.01582143 0.0163683 ],0.0001138392857142857
10.920050882549507,[0.12359152 0.07724554 0.07622768 0.0766183 ],[0.05618527 0.0722567  0.07371875 0.07494196],0.00021875000000000006
10.038045252826539,[0.16269196 0.15562946 0.15441741 0.15414955],[0.11428125 0.14753348 0.14973438 0.1505692 ],0.000546875
9.198665593541433,[0.18527232 0.20677679 0.2068125  0.20669196],[0.15996652 0.20102455 0.20226116 0.20304688],0.0009174107142857144
8.397981052665944,[0.20641295 0.23497991 0.23444196 0.23448661],[0.19303795 0.23137054 0.23142857 0.23130804],0.0020200892857142874
7.632580635055506,[0.21956473 0.24017857 0.24004687 0.23991518],[0.20907143 0.23807366 0.23820089 0.23826562],0.003926339285714285
6.899485391474242,[0.22948191 0.24428212 0.24461349 0.24446111],[0.22002709 0.24270511 0.24315499 0.24325174],0.00604440789473684
6.196078399429728,[0.24275499 0.2530512  0.25304611 0.25293414],[0.23479235 0.25172537 0.25162866 0.25150651],0.010006107491856688
