EbN0_dB,BER_amp,BER_ldpc,BER_plain
13.871499448986253,[0.00380357 0.00076339 0.         0.        ],[0. 0. 0. 0.],8.92857142857143e-06
12.830962154389534,[0.0145558  0.00117857 0.00075446 0.0007433 ],[0.00055804 0.00070089 0.00067857 0.0006875 ],0.0
11.8492445112885,[0.06461607 0.01655134 0.01494196 0.01464509],[0.01279018 0.01405134 0.01432366 0.01457812],8.928571428571429e-05
10.920050882549507,[0.12474554 0.0726942  0.06770089 0.06655804],[0.05154688 0.0619933  0.06415179 0.06476786],0.000171875
10.038045252826539,[0.16171205 0.14715625 0.14277009 0.14077679],[0.10514509 0.13247545 0.13442857 0.13602455],0.0005022321428571428
9.198665593541433,[0.18274107 0.19735491 0.19496429 0.19360714],[0.14826786 0.18635714 0.18748884 0.18850893],0.0008839285714285716
8.397981052665944,[0.20454241 0.227625   0.22656473 0.22623437],[0.18682366 0.22177902 0.22244866 0.22290179],0.0020468750000000005
7.632580635055506,[0.21689286 0.23990179 0.24015402 0.24032143],[0.20524777 0.23704018 0.23751562 0.23758036],0.003747767857142854
6.899485391474242,[0.23292202 0.24606454 0.24604264 0.24578466],[0.22280958 0.24403962 0.24422216 0.24397391],0.006651577102803736
6.196078399429728,[0.2441909  0.25320235 0.25303991 0.25299092],[0.2352697  0.25155734 0.25163469 0.25174814],0.010277433993399348
EbN0_dB,BER_amp,BER_ldpc,BER_plain
13.871499448986253,[0.00394643 0.00066518 0.         0.        ],[2.23214286e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00],0.0
12.830962154389534,[0.01341518 0.00171875 0.00158036 0.00151116],[0.0013192  0.00145759 0.00146875 0.00153125],6.696428571428573e-06
11.8492445112885,[0.0541183  0.01247991 0.01116964 0.01112946],[0.00877009 0.01040179 0.01070982 0.01087723],7.142857142857143e-05
10.920050882549507,[0.12290848 0.06684375 0.06271652 0.06173884],[0.0471317  0.05779018 0.05917634 0.0600067 ],0.00014285714285714287
10.038045252826539,[0.15817857 0.13895536 0.13303348 0.13148214],[0.09712277 0.12330134 0.12504018 0.12675446],0.0006160714285714284
9.198665593541433,[0.18438839 0.19564286 0.19288616 0.1924308 ],[0.14813839 0.18414062 0.18582589 0.1868058 ],0.0008303571428571428
8.397981052665944,[0.2034933  0.227375   0.22658705 0.22654911],[0.18535714 0.2213125  0.22171652 0.22206027],0.0019330357142857144
7.632580635055506,[0.21880804 0.23951562 0.23965625 0.23935045],[0.20659375 0.23636384 0.23674777 0.23664509],0.003776785714285715
6.899485391474242,[0.2345951  0.24685565 0.24713622 0.24693063],[0.22422601 0.24477796 0.24522059 0.24510207],0.005942821207430341
6.196078399429728,[0.24418945 0.25350021 0.25351563 0.25333573],[0.23536441 0.25234375 0.25240543 0.25226665],0.010603412828947367
