EbN0_dB,BER_amp,BER_ldpc,BER_plain
10.349674267872626,[0.00387277 0.07376116 0.07277009 0.07277009],[0.00182143 0.07293527 0.07277009 0.07277009],0.00037723214285714297
9.309136973275908,[0.01379911 0.08066295 0.07977455 0.0797433 ],[0.00690625 0.07993527 0.07971652 0.07968304],0.0008392857142857145
8.327419330174875,[0.0601317  0.09252232 0.09155357 0.09147098],[0.03587277 0.09142411 0.0915067  0.09151562],0.0022879464285714282
7.398225701435881,[0.11744792 0.12146577 0.11938709 0.11902204],[0.0784854  0.11698754 0.11722703 0.11777576],0.005185081845238091
6.5162200717129135,[0.15798834 0.16511505 0.16217594 0.16108571],[0.12533159 0.15798834 0.15860882 0.15867665],0.010467745176848876
5.676840412427807,[0.18684074 0.20227108 0.20007787 0.19967297],[0.1683425  0.19614306 0.19670629 0.1968179 ],0.019785610465116277
4.87615587155232,[0.20166406 0.21618229 0.21583073 0.21530469],[0.19021094 0.2126849  0.21329427 0.21303906],0.041643229166666684
4.11075545394188,[0.21939063 0.22940885 0.2290651  0.22886458],[0.21046094 0.22753125 0.22752083 0.2271901 ],0.06476822916666668
3.3776602103606153,[0.23070313 0.23690625 0.23657812 0.23645312],[0.2223099  0.23532552 0.23522396 0.23514583],0.09659374999999998
2.674253218316103,[0.24438281 0.2459974  0.24610417 0.24584375],[0.23582031 0.24497917 0.24528646 0.24493229],0.12348697916666661
